12 JACIN1
左10→中2→右7 ×
左10→中7→右7 ×
左10→中12→右7 ×
左10→中16→右7 ×
左10→中20→右7 ×
左11→中12→右7 ×
中1→右1→左21 ×
中1→右2→左7 ×
中1→右5→左21 ×
中1→右6→左7 ×
中1→右10→左21 ×
中1→右11→左7 ×
中1→右14→左21 ×
中1→右15→左7 ×
中1→右18→左21 ×
中1→右19→左7 ×
中1→右5 ×
中2→左10→右7 ×
中2→右3→左14 ×
中2→右6→左14 ×
中2→右7→左1 ×
中2→右11→左14 ×
中2→右12→左1 ×
中2→右15→左14 ×
中2→右16→左1 ×
中2→右19→左14 ×
中2→右20→左1 ×
中3→右5→左14 ×
中3→右8→左14 ×
中3→右13→左14 ×
中3→右17→左14 ×
中3→右21→左14 ×
中3→右1 ×
中5→右1→左21 ×
中5→右2→左7 ×
中5→右5→左21 ×
中5→右6→左7 ×
中5→右10→左21 ×
中5→右11→左7 ×
中5→右14→左21 ×
中5→右15→左7 ×
中5→右18→左21 ×
中5→右19→左7 ×
中5→右5 ×
中6→右3→左21 ×
中6→右7→左21 ×
中6→右12→左21 ×
中6→右16→左21 ×
中6→右20→左21 ×
中7→左10→右7 ×
中7→右3→左14 ×
中7→右6→左14 ×
中7→右11→左14 ×
中7→右15→左14 ×
中7→右19→左14 ×
中8→右5→左14 ×
中8→右8→左14 ×
中8→右13→左14 ×
中8→右17→左14 ×
中8→右21→左14 ×
中8→右1 ×
中10→右1→左21 ×
中10→右2→左7 ×
中10→右5→左21 ×
中10→右6→左7 ×
中10→右10→左21 ×
中10→右11→左7 ×
中10→右14→左21 ×
中10→右15→左7 ×
中10→右18→左21 ×
中10→右19→左7 ×
中10→右5 ×
中11→右3→左21 ×
中11→右7→左21 ×
中11→右12→左21 ×
中11→右16→左21 ×
中11→右20→左21 ×
中12→左10→右7 ×
中12→左11→右7 ×
中12→右3→左14 ×
中12→右6→左14 ×
中12→右11→左14 ×
中12→右15→左14 ×
中12→右19→左14 ×
中13→右1→左21 ×
中13→右2→左7 ×
中13→右5→左14 ×
中13→右6→左7 ×
中13→右8→左14 ×
中13→右10→左21 ×
中13→右11→左7 ×
中13→右13→左14 ×
中13→右14→左21 ×
中13→右15→左7 ×
中13→右17→左14 ×
中13→右18→左21 ×
中13→右19→左7 ×
中13→右21→左14 ×
中13→右1 ×
中14→右3→左21 ×
中14→右7→左21 ×
中14→右12→左21 ×
中14→右16→左21 ×
中14→右20→左21 ×
中16→左10→右7 ×
中16→右3→左14 ×
中16→右6→左14 ×
中16→右11→左14 ×
中16→右15→左14 ×
中16→右19→左14 ×
中17→右5→左14 ×
中17→右8→左14 ×
中17→右13→左14 ×
中17→右17→左14 ×
中17→右21→左14 ×
中17→右1 ×
中18→右1→左21 ×
中18→右2→左7 ×
中18→右5→左21 ×
中18→右6→左7 ×
中18→右10→左21 ×
中18→右11→左7 ×
中18→右14→左21 ×
中18→右15→左7 ×
中18→右18→左21 ×
中18→右19→左7 ×
中18→右5 ×
中19→右3→左21 ×
中19→右7→左21 ×
中19→右12→左21 ×
中19→右16→左21 ×
中19→右20→左21 ×
中20→左10→右7 ×
中20→右3→左14 ×
中20→右6→左14 ×
中20→右11→左14 ×
中20→右15→左14 ×
中20→右19→左14 ×
中21→右5→左14 ×
中21→右8→左14 ×
中21→右13→左14 ×
中21→右17→左14 ×
中21→右21→左14 ×
中21→右1 ×
中1で詰みました
